# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8500000 1200 20000
  1 -49.5526 16.569 0.183377
  2 -49.4699 16.987 0.188004
  3 -49.3872 16.846 0.186443
  4 -49.3046 16.707 0.184905
  5 -49.2219 16.644 0.184207
  6 -49.1393 16.655 0.184329
  7 -49.0566 16.765 0.185547
  8 -48.974 16.681 0.184617
  9 -48.8913 16.981 0.187937
  10 -48.8086 16.821 0.186166
  11 -48.726 16.767 0.185569
  12 -48.6433 16.802 0.185956
  13 -48.5607 16.791 0.185834
  14 -48.478 16.619 0.183931
  15 -48.3954 16.779 0.185702
  16 -48.3127 16.707 0.184905
  17 -48.23 16.586 0.183566
  18 -48.1474 16.58 0.183499
  19 -48.0647 16.88 0.186819
  20 -47.9821 16.694 0.184761
  21 -47.8994 16.954 0.187638
  22 -47.8168 16.666 0.184451
  23 -47.7341 16.81 0.186045
  24 -47.6515 16.994 0.188081
  25 -47.5688 16.661 0.184396
  26 -47.4861 17.034 0.188524
  27 -47.4035 16.817 0.186122
  28 -47.3208 16.892 0.186952
  29 -47.2382 17.016 0.188325
  30 -47.1555 16.964 0.187749
  31 -47.0729 16.713 0.184971
  32 -46.9902 16.842 0.186399
  33 -46.9075 16.515 0.18278
  34 -46.8249 16.777 0.185679
  35 -46.7422 16.796 0.18589
  36 -46.6596 16.69 0.184717
  37 -46.5769 16.859 0.186587
  38 -46.4943 16.763 0.185525
  39 -46.4116 16.929 0.187362
  40 -46.3289 16.905 0.187096
  41 -46.2463 17.133 0.189619
  42 -46.1636 17.001 0.188159
  43 -46.081 16.778 0.185691
  44 -45.9983 16.585 0.183554
  45 -45.9157 16.966 0.187771
  46 -45.833 16.844 0.186421
  47 -45.7504 16.977 0.187893
  48 -45.6677 16.96 0.187705
  49 -45.585 16.773 0.185635
  50 -45.5024 16.645 0.184219
  51 -45.4197 16.827 0.186233
  52 -45.3371 16.704 0.184872
  53 -45.2544 16.715 0.184993
  54 -45.1718 16.968 0.187793
  55 -45.0891 16.962 0.187727
  56 -45.0064 16.74 0.18527
  57 -44.9238 16.838 0.186355
  58 -44.8411 16.577 0.183466
  59 -44.7585 16.829 0.186255
  60 -44.6758 16.916 0.187218
  61 -44.5932 16.793 0.185857
  62 -44.5105 16.732 0.185181
  63 -44.4279 16.834 0.18631
  64 -44.3452 16.616 0.183898
  65 -44.2625 16.86 0.186598
  66 -44.1799 16.745 0.185325
  67 -44.0972 16.657 0.184351
  68 -44.0146 16.506 0.18268
  69 -43.9319 16.688 0.184694
  70 -43.8493 16.867 0.186676
  71 -43.7666 16.784 0.185757
  72 -43.6839 16.628 0.18403
  73 -43.6013 16.848 0.186465
  74 -43.5186 16.715 0.184993
  75 -43.436 17.072 0.188944
  76 -43.3533 16.671 0.184506
  77 -43.2707 16.645 0.184219
  78 -43.188 16.84 0.186377
  79 -43.1053 16.838 0.186355
  80 -43.0227 16.907 0.187118
  81 -42.94 16.861 0.186609
  82 -42.8574 16.637 0.18413
  83 -42.7747 16.624 0.183986
  84 -42.6921 16.831 0.186277
  85 -42.6094 16.777 0.185679
  86 -42.5268 16.753 0.185414
  87 -42.4441 16.655 0.184329
  88 -42.3614 16.743 0.185303
  89 -42.2788 16.633 0.184086
  90 -42.1961 16.753 0.185414
  91 -42.1135 16.382 0.181308
  92 -42.0308 16.621 0.183953
  93 -41.9482 16.893 0.186963
  94 -41.8655 16.72 0.185049
