# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
3500000 1200 20000
  1 -49.5526 16.424 0.181773
  2 -49.4699 16.345 0.180898
  3 -49.3872 16.428 0.181817
  4 -49.3046 16.513 0.182758
  5 -49.2219 16.349 0.180943
  6 -49.1393 16.098 0.178165
  7 -49.0566 16.245 0.179792
  8 -48.974 16.373 0.181208
  9 -48.8913 16.359 0.181053
  10 -48.8086 16.501 0.182625
  11 -48.726 16.144 0.178674
  12 -48.6433 16.194 0.179227
  13 -48.5607 16.389 0.181385
  14 -48.478 16.292 0.180312
  15 -48.3954 16.337 0.18081
  16 -48.3127 16.292 0.180312
  17 -48.23 16.32 0.180622
  18 -48.1474 16.353 0.180987
  19 -48.0647 16.469 0.182271
  20 -47.9821 16.25 0.179847
  21 -47.8994 16.391 0.181407
  22 -47.8168 16.519 0.182824
  23 -47.7341 16.316 0.180577
  24 -47.6515 16.227 0.179592
  25 -47.5688 16.814 0.186089
  26 -47.4861 16.649 0.184263
  27 -47.4035 16.474 0.182326
  28 -47.3208 16.346 0.180909
  29 -47.2382 16.646 0.18423
  30 -47.1555 16.144 0.178674
  31 -47.0729 16.552 0.183189
  32 -46.9902 16.539 0.183045
  33 -46.9075 16.691 0.184728
  34 -46.8249 16.698 0.184805
  35 -46.7422 16.859 0.186587
  36 -46.6596 16.522 0.182857
  37 -46.5769 16.389 0.181385
  38 -46.4943 16.719 0.185038
  39 -46.4116 16.633 0.184086
  40 -46.3289 16.627 0.184019
  41 -46.2463 16.7 0.184827
  42 -46.1636 16.523 0.182868
  43 -46.081 16.871 0.18672
  44 -45.9983 16.367 0.181142
  45 -45.9157 16.677 0.184573
  46 -45.833 16.732 0.185181
  47 -45.7504 16.578 0.183477
  48 -45.6677 16.688 0.184694
  49 -45.585 16.628 0.18403
  50 -45.5024 16.798 0.185912
  51 -45.4197 16.827 0.186233
  52 -45.3371 16.793 0.185857
  53 -45.2544 16.805 0.185989
  54 -45.1718 16.699 0.184816
  55 -45.0891 16.479 0.182381
  56 -45.0064 16.458 0.182149
  57 -44.9238 16.647 0.184241
  58 -44.8411 16.533 0.182979
  59 -44.7585 16.657 0.184351
  60 -44.6758 16.349 0.180943
  61 -44.5932 16.342 0.180865
  62 -44.5105 16.456 0.182127
  63 -44.4279 16.449 0.182049
  64 -44.3452 16.408 0.181596
  65 -44.2625 16.435 0.181894
  66 -44.1799 16.406 0.181573
  67 -44.0972 16.514 0.182769
  68 -44.0146 16.523 0.182868
  69 -43.9319 16.44 0.18195
  70 -43.8493 16.243 0.179769
  71 -43.7666 16.453 0.182094
  72 -43.6839 16.371 0.181186
