# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
7500000 1200 20000
  1 -49.5526 16.685 0.184661
  2 -49.4699 16.394 0.181441
  3 -49.3872 16.861 0.186609
  4 -49.3046 16.688 0.184694
  5 -49.2219 16.735 0.185215
  6 -49.1393 16.779 0.185702
  7 -49.0566 16.502 0.182636
  8 -48.974 16.341 0.180854
  9 -48.8913 16.486 0.182459
  10 -48.8086 16.397 0.181474
  11 -48.726 16.912 0.187174
  12 -48.6433 16.57 0.183388
  13 -48.5607 16.509 0.182713
  14 -48.478 16.393 0.18143
  15 -48.3954 16.684 0.18465
  16 -48.3127 16.585 0.183554
  17 -48.23 16.431 0.18185
  18 -48.1474 16.599 0.183709
  19 -48.0647 16.369 0.181164
  20 -47.9821 16.516 0.182791
  21 -47.8994 16.554 0.183211
  22 -47.8168 16.571 0.1834
  23 -47.7341 16.557 0.183245
  24 -47.6515 16.515 0.18278
  25 -47.5688 16.512 0.182747
  26 -47.4861 16.634 0.184097
  27 -47.4035 16.619 0.183931
  28 -47.3208 16.532 0.182968
  29 -47.2382 16.612 0.183853
  30 -47.1555 16.558 0.183256
  31 -47.0729 16.296 0.180356
  32 -46.9902 16.468 0.18226
  33 -46.9075 16.704 0.184872
  34 -46.8249 16.671 0.184506
  35 -46.7422 16.519 0.182824
  36 -46.6596 16.591 0.183621
  37 -46.5769 16.417 0.181695
  38 -46.4943 16.629 0.184041
  39 -46.4116 16.622 0.183964
  40 -46.3289 16.506 0.18268
  41 -46.2463 16.813 0.186078
  42 -46.1636 16.649 0.184263
  43 -46.081 16.606 0.183787
  44 -45.9983 16.716 0.185004
  45 -45.9157 16.816 0.186111
  46 -45.833 16.777 0.185679
  47 -45.7504 16.855 0.186543
  48 -45.6677 16.702 0.184849
  49 -45.585 16.961 0.187716
  50 -45.5024 16.723 0.185082
  51 -45.4197 16.619 0.183931
  52 -45.3371 16.607 0.183798
  53 -45.2544 16.597 0.183687
  54 -45.1718 16.64 0.184163
  55 -45.0891 16.608 0.183809
  56 -45.0064 16.669 0.184484
  57 -44.9238 16.947 0.187561
  58 -44.8411 16.731 0.18517
  59 -44.7585 16.735 0.185215
  60 -44.6758 16.894 0.186974
  61 -44.5932 16.456 0.182127
  62 -44.5105 16.398 0.181485
  63 -44.4279 16.581 0.18351
  64 -44.3452 16.447 0.182027
  65 -44.2625 16.859 0.186587
  66 -44.1799 16.674 0.184539
  67 -44.0972 16.583 0.183532
  68 -44.0146 16.679 0.184595
  69 -43.9319 16.507 0.182691
  70 -43.8493 16.523 0.182868
  71 -43.7666 16.704 0.184872
  72 -43.6839 16.91 0.187151
  73 -43.6013 16.675 0.184551
  74 -43.5186 16.644 0.184207
  75 -43.436 16.512 0.182747
  76 -43.3533 16.708 0.184916
  77 -43.2707 16.867 0.186676
  78 -43.188 16.519 0.182824
  79 -43.1053 16.761 0.185502
  80 -43.0227 16.531 0.182957
  81 -42.94 16.51 0.182724
  82 -42.8574 16.802 0.185956
  83 -42.7747 16.62 0.183942
  84 -42.6921 16.659 0.184373
  85 -42.6094 16.58 0.183499
  86 -42.5268 16.482 0.182415
  87 -42.4441 16.564 0.183322
  88 -42.3614 16.62 0.183942
  89 -42.2788 16.828 0.186244
  90 -42.1961 16.602 0.183743
