# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2500000 1200 20000
  1 -49.5526 7.364 0.0815011
  2 -49.4699 7.337 0.0812022
  3 -49.3872 7.138 0.0789998
  4 -49.3046 7.216 0.0798631
  5 -49.2219 7.377 0.0816449
  6 -49.1393 7.067 0.078214
  7 -49.0566 7.097 0.078546
  8 -48.974 7.146 0.0790884
  9 -48.8913 7.186 0.0795311
  10 -48.8086 7.012 0.0776053
  11 -48.726 7.218 0.0798852
  12 -48.6433 7.158 0.0792212
  13 -48.5607 7.178 0.0794425
  14 -48.478 7.078 0.0783358
  15 -48.3954 7.189 0.0795643
  16 -48.3127 7.204 0.0797303
  17 -48.23 7.068 0.0782251
  18 -48.1474 7.201 0.0796971
  19 -48.0647 7.105 0.0786346
  20 -47.9821 6.989 0.0773508
  21 -47.8994 6.988 0.0773397
  22 -47.8168 7.197 0.0796528
  23 -47.7341 7.096 0.078535
  24 -47.6515 7.246 0.0801951
  25 -47.5688 7.07 0.0782472
  26 -47.4861 7.197 0.0796528
  27 -47.4035 7.175 0.0794093
  28 -47.3208 7.211 0.0798077
  29 -47.2382 7.189 0.0795643
  30 -47.1555 7.163 0.0792765
  31 -47.0729 7.146 0.0790884
  32 -46.9902 7.047 0.0779927
  33 -46.9075 7.093 0.0785018
  34 -46.8249 7.247 0.0802062
  35 -46.7422 7.172 0.0793761
  36 -46.6596 7.211 0.0798077
  37 -46.5769 7.215 0.079852
  38 -46.4943 7.362 0.0814789
  39 -46.4116 7.413 0.0820434
  40 -46.3289 7.34 0.0812354
  41 -46.2463 7.348 0.081324
  42 -46.1636 7.323 0.0810473
  43 -46.081 7.309 0.0808924
  44 -45.9983 7.35 0.0813461
  45 -45.9157 7.117 0.0787674
  46 -45.833 7.19 0.0795753
  47 -45.7504 7.154 0.0791769
  48 -45.6677 7.346 0.0813019
  49 -45.585 7.203 0.0797192
  50 -45.5024 7.511 0.083128
  51 -45.4197 7.246 0.0801951
  52 -45.3371 7.136 0.0789777
  53 -45.2544 7.184 0.0795089
  54 -45.1718 7.087 0.0784354
  55 -45.0891 7.043 0.0779484
  56 -45.0064 7.102 0.0786014
  57 -44.9238 7.146 0.0790884
  58 -44.8411 7.071 0.0782583
  59 -44.7585 7.17 0.079354
  60 -44.6758 7.244 0.080173
  61 -44.5932 7.302 0.0808149
  62 -44.5105 7.183 0.0794979
  63 -44.4279 7.165 0.0792986
  64 -44.3452 7.11 0.0786899
  65 -44.2625 7.205 0.0797413
  66 -44.1799 7.11 0.0786899
  67 -44.0972 7.094 0.0785128
  68 -44.0146 7.026 0.0777603
  69 -43.9319 7.284 0.0806157
  70 -43.8493 6.972 0.0771626
  71 -43.7666 7.112 0.0787121
  72 -43.6839 7.107 0.0786567
  73 -43.6013 7.134 0.0789555
  74 -43.5186 7.288 0.0806599
  75 -43.436 7.232 0.0800402
  76 -43.3533 7.345 0.0812908
  77 -43.2707 7.377 0.0816449
  78 -43.188 7.283 0.0806046
  79 -43.1053 7.211 0.0798077
  80 -43.0227 7.373 0.0816007
  81 -42.94 7.459 0.0825525
  82 -42.8574 7.308 0.0808813
  83 -42.7747 7.322 0.0810362
  84 -42.6921 7.426 0.0821873
  85 -42.6094 7.344 0.0812797
  86 -42.5268 7.362 0.0814789
  87 -42.4441 7.494 0.0829398
  88 -42.3614 7.358 0.0814347
  89 -42.2788 7.456 0.0825193
  90 -42.1961 7.271 0.0804718
  91 -42.1135 7.459 0.0825525
  92 -42.0308 7.543 0.0834822
  93 -41.9482 7.481 0.082796
  94 -41.8655 7.413 0.0820434
  95 -41.7828 7.403 0.0819327
  96 -41.7002 7.612 0.0842458
  97 -41.6175 7.195 0.0796307
  98 -41.5349 7.308 0.0808813
  99 -41.4522 7.509 0.0831059
  100 -41.3696 7.353 0.0813793
  101 -41.2869 7.357 0.0814236
  102 -41.2042 7.398 0.0818774
  103 -41.1216 7.443 0.0823754
  104 -41.0389 7.326 0.0810805
  105 -40.9563 7.385 0.0817335
  106 -40.8736 7.362 0.0814789
  107 -40.791 7.289 0.080671
  108 -40.7083 7.438 0.0823201
  109 -40.6257 7.497 0.082973
  110 -40.543 7.358 0.0814347
  111 -40.4603 7.193 0.0796085
  112 -40.3777 7.329 0.0811137
  113 -40.295 7.221 0.0799184
  114 -40.2124 7.144 0.0790662
  115 -40.1297 7.183 0.0794979
  116 -40.0471 7.222 0.0799295
  117 -39.9644 7.272 0.0804829
  118 -39.8817 7.257 0.0803168
  119 -39.7991 7.345 0.0812908
  120 -39.7164 7.27 0.0804607
  121 -39.6338 7.46 0.0825635
  122 -39.5511 7.212 0.0798188
  123 -39.4685 7.278 0.0805493
  124 -39.3858 7.25 0.0802394
  125 -39.3031 7.179 0.0794536
  126 -39.2205 7.276 0.0805271
  127 -39.1378 7.188 0.0795532
  128 -39.0552 7.433 0.0822647
  129 -38.9725 7.445 0.0823975
  130 -38.8899 7.3 0.0807927
  131 -38.8072 7.355 0.0814015
  132 -38.7246 7.335 0.0811801
  133 -38.6419 7.246 0.0801951
  134 -38.5592 7.277 0.0805382
  135 -38.4766 7.288 0.0806599
  136 -38.3939 7.189 0.0795643
  137 -38.3113 7.426 0.0821873
  138 -38.2286 7.193 0.0796085
  139 -38.146 7.222 0.0799295
  140 -38.0633 7.246 0.0801951
  141 -37.9806 7.231 0.0800291
  142 -37.898 6.996 0.0774282
  143 -37.8153 7.126 0.078867
  144 -37.7327 7.109 0.0786789
  145 -37.65 6.939 0.0767974
  146 -37.5674 7.154 0.0791769
  147 -37.4847 6.996 0.0774282
  148 -37.4021 7.124 0.0788449
  149 -37.3194 6.992 0.077384
  150 -37.2367 7.175 0.0794093
  151 -37.1541 7.261 0.0803611
  152 -37.0714 7.112 0.0787121
  153 -36.9888 7.153 0.0791658
  154 -36.9061 7.043 0.0779484
  155 -36.8235 7.093 0.0785018
  156 -36.7408 7.075 0.0783026
  157 -36.6581 7.044 0.0779595
  158 -36.5755 7.04 0.0779152
  159 -36.4928 7.005 0.0775278
  160 -36.4102 6.986 0.0773176
  161 -36.3275 7.068 0.0782251
  162 -36.2449 7.006 0.0775389
  163 -36.1622 7.113 0.0787231
  164 -36.0795 7.254 0.0802836
  165 -35.9969 6.927 0.0766646
  166 -35.9142 7.113 0.0787231
  167 -35.8316 7.242 0.0801508
  168 -35.7489 7.049 0.0780148
  169 -35.6663 7.013 0.0776164
  170 -35.5836 7.085 0.0784132
  171 -35.501 7.052 0.078048
  172 -35.4183 6.954 0.0769634
  173 -35.3356 7.044 0.0779595
  174 -35.253 7.099 0.0785682
  175 -35.1703 7.204 0.0797303
  176 -35.0877 7.213 0.0798299
  177 -35.005 7.273 0.0804939
  178 -34.9224 7.082 0.07838
  179 -34.8397 6.995 0.0774172
  180 -34.757 7.014 0.0776274
  181 -34.6744 7.091 0.0784796
  182 -34.5917 7.099 0.0785682
  183 -34.5091 7.039 0.0779041
  184 -34.4264 6.973 0.0771737
  185 -34.3438 7.231 0.0800291
  186 -34.2611 7.131 0.0789223
  187 -34.1784 7.162 0.0792654
  188 -34.0958 7.159 0.0792322
