# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5500000 1200 20000
  1 -49.5526 16.7 0.184827
  2 -49.4699 17.071 0.188933
  3 -49.3872 16.714 0.184982
  4 -49.3046 16.868 0.186687
  5 -49.2219 17.037 0.188557
  6 -49.1393 16.908 0.187129
  7 -49.0566 17.08 0.189033
  8 -48.974 17.012 0.18828
  9 -48.8913 17.046 0.188657
  10 -48.8086 17.21 0.190472
  11 -48.726 16.691 0.184728
  12 -48.6433 16.884 0.186864
  13 -48.5607 16.883 0.186853
  14 -48.478 16.952 0.187616
  15 -48.3954 16.636 0.184119
  16 -48.3127 16.931 0.187384
  17 -48.23 16.851 0.186498
  18 -48.1474 16.755 0.185436
  19 -48.0647 16.556 0.183234
  20 -47.9821 16.77 0.185602
  21 -47.8994 16.716 0.185004
  22 -47.8168 16.536 0.183012
  23 -47.7341 16.906 0.187107
  24 -47.6515 16.896 0.186996
  25 -47.5688 16.937 0.18745
  26 -47.4861 16.652 0.184296
  27 -47.4035 16.856 0.186554
  28 -47.3208 16.631 0.184064
  29 -47.2382 16.474 0.182326
  30 -47.1555 16.756 0.185447
  31 -47.0729 16.647 0.184241
  32 -46.9902 16.655 0.184329
  33 -46.9075 16.519 0.182824
  34 -46.8249 16.72 0.185049
  35 -46.7422 16.673 0.184528
  36 -46.6596 16.652 0.184296
  37 -46.5769 16.818 0.186133
  38 -46.4943 16.59 0.18361
  39 -46.4116 16.813 0.186078
  40 -46.3289 16.661 0.184396
  41 -46.2463 16.648 0.184252
  42 -46.1636 16.602 0.183743
  43 -46.081 16.757 0.185458
  44 -45.9983 16.7 0.184827
  45 -45.9157 16.764 0.185536
  46 -45.833 16.55 0.183167
  47 -45.7504 16.725 0.185104
  48 -45.6677 16.776 0.185668
  49 -45.585 16.766 0.185558
  50 -45.5024 16.687 0.184683
  51 -45.4197 16.524 0.182879
  52 -45.3371 16.824 0.1862
  53 -45.2544 16.645 0.184219
  54 -45.1718 16.617 0.183909
  55 -45.0891 16.413 0.181651
  56 -45.0064 16.648 0.184252
  57 -44.9238 16.44 0.18195
  58 -44.8411 16.691 0.184728
  59 -44.7585 16.615 0.183887
  60 -44.6758 16.763 0.185525
  61 -44.5932 16.563 0.183311
  62 -44.5105 16.617 0.183909
  63 -44.4279 16.613 0.183864
  64 -44.3452 16.518 0.182813
  65 -44.2625 16.494 0.182547
  66 -44.1799 16.584 0.183543
  67 -44.0972 16.804 0.185978
  68 -44.0146 16.741 0.185281
  69 -43.9319 16.55 0.183167
  70 -43.8493 16.691 0.184728
  71 -43.7666 16.537 0.183023
  72 -43.6839 16.69 0.184717
  73 -43.6013 16.595 0.183665
  74 -43.5186 16.759 0.18548
  75 -43.436 16.776 0.185668
  76 -43.3533 16.741 0.185281
  77 -43.2707 16.51 0.182724
  78 -43.188 16.628 0.18403
  79 -43.1053 16.732 0.185181
  80 -43.0227 16.609 0.18382
  81 -42.94 17.088 0.189121
  82 -42.8574 16.641 0.184174
  83 -42.7747 16.549 0.183156
  84 -42.6921 16.845 0.186432
  85 -42.6094 16.639 0.184152
  86 -42.5268 16.743 0.185303
  87 -42.4441 16.827 0.186233
  88 -42.3614 16.751 0.185392
  89 -42.2788 16.673 0.184528
  90 -42.1961 16.348 0.180931
  91 -42.1135 16.821 0.186166
  92 -42.0308 16.519 0.182824
  93 -41.9482 16.56 0.183278
  94 -41.8655 16.766 0.185558
  95 -41.7828 17.096 0.18921
  96 -41.7002 16.677 0.184573
  97 -41.6175 16.377 0.181252
  98 -41.5349 16.782 0.185735
  99 -41.4522 16.519 0.182824
