# Chunk-averaged data for fix denprof and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
1500000 1200 20000
  1 -49.5526 0.45 0.00498037
  2 -49.4699 0.491 0.00543414
  3 -49.3872 0.482 0.00533453
  4 -49.3046 0.487 0.00538987
  5 -49.2219 0.432 0.00478116
  6 -49.1393 0.479 0.00530133
  7 -49.0566 0.466 0.00515746
  8 -48.974 0.486 0.0053788
  9 -48.8913 0.485 0.00536774
  10 -48.8086 0.455 0.00503571
  11 -48.726 0.489 0.00541201
  12 -48.6433 0.531 0.00587684
  13 -48.5607 0.478 0.00529026
  14 -48.478 0.472 0.00522386
  15 -48.3954 0.425 0.00470369
  16 -48.3127 0.484 0.00535667
  17 -48.23 0.421 0.00465942
  18 -48.1474 0.448 0.00495824
  19 -48.0647 0.435 0.00481436
  20 -47.9821 0.457 0.00505785
  21 -47.8994 0.455 0.00503571
  22 -47.8168 0.439 0.00485863
  23 -47.7341 0.47 0.00520172
  24 -47.6515 0.429 0.00474796
  25 -47.5688 0.438 0.00484756
  26 -47.4861 0.441 0.00488077
  27 -47.4035 0.439 0.00485863
  28 -47.3208 0.435 0.00481436
  29 -47.2382 0.452 0.00500251
  30 -47.1555 0.426 0.00471475
  31 -47.0729 0.419 0.00463728
  32 -46.9902 0.466 0.00515746
  33 -46.9075 0.422 0.00467048
  34 -46.8249 0.455 0.00503571
  35 -46.7422 0.404 0.00447127
  36 -46.6596 0.409 0.00452661
  37 -46.5769 0.412 0.00455981
  38 -46.4943 0.43 0.00475902
  39 -46.4116 0.414 0.00458194
  40 -46.3289 0.421 0.00465942
  41 -46.2463 0.428 0.00473689
  42 -46.1636 0.41 0.00453767
  43 -46.081 0.422 0.00467048
  44 -45.9983 0.403 0.0044602
  45 -45.9157 0.416 0.00460408
  46 -45.833 0.393 0.00434953
  47 -45.7504 0.45 0.00498037
  48 -45.6677 0.426 0.00471475
  49 -45.585 0.388 0.00429419
  50 -45.5024 0.407 0.00450447
  51 -45.4197 0.405 0.00448234
  52 -45.3371 0.419 0.00463728
  53 -45.2544 0.438 0.00484756
  54 -45.1718 0.41 0.00453767
  55 -45.0891 0.441 0.00488077
  56 -45.0064 0.428 0.00473689
  57 -44.9238 0.419 0.00463728
  58 -44.8411 0.41 0.00453767
  59 -44.7585 0.376 0.00416138
  60 -44.6758 0.417 0.00461515
  61 -44.5932 0.421 0.00465942
  62 -44.5105 0.401 0.00443807
  63 -44.4279 0.378 0.00418351
  64 -44.3452 0.436 0.00482543
  65 -44.2625 0.422 0.00467048
  66 -44.1799 0.412 0.00455981
  67 -44.0972 0.436 0.00482543
  68 -44.0146 0.383 0.00423885
  69 -43.9319 0.408 0.00451554
  70 -43.8493 0.379 0.00419458
  71 -43.7666 0.403 0.0044602
  72 -43.6839 0.398 0.00440486
  73 -43.6013 0.393 0.00434953
  74 -43.5186 0.433 0.00479223
  75 -43.436 0.443 0.0049029
  76 -43.3533 0.411 0.00454874
  77 -43.2707 0.418 0.00462621
  78 -43.188 0.418 0.00462621
  79 -43.1053 0.405 0.00448234
  80 -43.0227 0.433 0.00479223
  81 -42.94 0.408 0.00451554
  82 -42.8574 0.407 0.00450447
  83 -42.7747 0.413 0.00457088
  84 -42.6921 0.388 0.00429419
  85 -42.6094 0.469 0.00519066
  86 -42.5268 0.452 0.00500251
  87 -42.4441 0.505 0.00558909
  88 -42.3614 0.443 0.0049029
  89 -42.2788 0.423 0.00468155
  90 -42.1961 0.422 0.00467048
  91 -42.1135 0.421 0.00465942
  92 -42.0308 0.433 0.00479223
  93 -41.9482 0.411 0.00454874
  94 -41.8655 0.382 0.00422779
  95 -41.7828 0.399 0.00441593
  96 -41.7002 0.384 0.00424992
  97 -41.6175 0.398 0.00440486
  98 -41.5349 0.392 0.00433846
  99 -41.4522 0.382 0.00422779
  100 -41.3696 0.359 0.00397323
  101 -41.2869 0.375 0.00415031
  102 -41.2042 0.384 0.00424992
  103 -41.1216 0.367 0.00406177
  104 -41.0389 0.361 0.00399537
  105 -40.9563 0.388 0.00429419
  106 -40.8736 0.381 0.00421672
  107 -40.791 0.426 0.00471475
  108 -40.7083 0.392 0.00433846
  109 -40.6257 0.4 0.004427
  110 -40.543 0.401 0.00443807
  111 -40.4603 0.379 0.00419458
  112 -40.3777 0.393 0.00434953
  113 -40.295 0.419 0.00463728
  114 -40.2124 0.406 0.0044934
  115 -40.1297 0.394 0.00436059
  116 -40.0471 0.377 0.00417245
  117 -39.9644 0.372 0.00411711
  118 -39.8817 0.353 0.00390683
  119 -39.7991 0.42 0.00464835
  120 -39.7164 0.366 0.0040507
  121 -39.6338 0.368 0.00407284
  122 -39.5511 0.387 0.00428312
  123 -39.4685 0.361 0.00399537
  124 -39.3858 0.355 0.00392896
  125 -39.3031 0.347 0.00384042
  126 -39.2205 0.408 0.00451554
  127 -39.1378 0.371 0.00410604
  128 -39.0552 0.382 0.00422779
  129 -38.9725 0.385 0.00426099
  130 -38.8899 0.358 0.00396217
  131 -38.8072 0.375 0.00415031
  132 -38.7246 0.367 0.00406177
  133 -38.6419 0.389 0.00430526
